cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,reason
5b667265-3ec1-4c9d-9a70-1ed0db9aa835,2025-09-09 18:54:19.389925+00:00,openai,gpt-4o-mini,0,3735,238,ana,I prioritize community benefits and individual consent over bureaucratic oversight and privacy concerns.
eceb5980-cbd1-452f-86a7-176aa5d5b94e,2025-09-09 18:54:25.477299+00:00,openai,gpt-4o-mini,0,3735,237,ana,Prioritize community benefits and individual consent over bureaucratic oversight and discrimination.
9c56bd6f-37db-413b-84c1-79405dc85bcb,2025-09-09 18:54:33.793452+00:00,openai,gpt-4o-mini,0,3735,237,ana,I prioritize community benefits and individual consent over bureaucratic oversight and discrimination.
c7214707-ab5c-4e9a-9ad3-0b37ab1cb053,2025-09-09 18:54:40.040196+00:00,openai,gpt-4o-mini,0,3735,237,ana,I prioritize community benefits and individual consent over bureaucratic oversight and discrimination.
a4f6c2d9-1268-4057-ab16-7ae2e91499c4,2025-09-09 18:54:45.773775+00:00,openai,gpt-4o-mini,0,3735,237,ana,I prioritize individual consent and community benefits over bureaucratic oversight and discrimination.
af8298c6-676f-4db7-be9e-0ea032fd9fc4,2025-09-09 19:01:17.671958+00:00,openai,gpt-4o-mini,0,3738,237,con,I prioritize individual consent and community benefits while ensuring ethical oversight in research.
e2ad8c28-6f9c-43d7-95c4-2559af7064f5,2025-09-09 19:01:28.106201+00:00,openai,gpt-4o-mini,0,3738,237,con,I prioritize ethical oversight and individual consent while balancing community benefits and privacy.
272f39a2-5d1b-403c-9065-712208e9a19f,2025-09-09 19:01:35.877768+00:00,openai,gpt-4o-mini,0,3738,237,con,I prioritize oversight and community benefits while valuing individual privacy and consent.
fa87bb59-25de-4bef-aade-5fc0dcf0c35e,2025-09-09 19:01:42.884335+00:00,openai,gpt-4o-mini,0,3738,237,con,I prioritize oversight and community benefits while valuing individual consent and privacy.
3ddadc40-8c16-4c87-a4d0-822e70277587,2025-09-09 19:01:49.406806+00:00,openai,gpt-4o-mini,0,3738,238,con,I prioritize ethical oversight and individual consent while valuing community benefits and privacy.
9ff6b1bb-30d6-4ccf-8c79-cc3f52fb04db,2025-09-09 19:08:10.451173+00:00,openai,gpt-4o-mini,0,3732,237,eco,I prioritize community benefits and ethical oversight while ensuring individual rights and privacy.
ccd9a1f6-fff5-4cf3-af66-8d344e5ebdb1,2025-09-09 19:08:16.501142+00:00,openai,gpt-4o-mini,0,3732,236,eco,I prioritize ethical oversight and community benefits over individual authorization in research.
c4df64fd-c3ba-4d78-8c28-b389cb2f9f73,2025-09-09 19:08:27.375527+00:00,openai,gpt-4o-mini,0,3732,237,eco,I prioritize community benefits and ethical oversight over individual consent in research practices.
87d1a420-6967-4a87-b0aa-66f480fc384a,2025-09-09 19:08:35.334845+00:00,openai,gpt-4o-mini,0,3732,239,eco,"I prioritize ethics, individual rights, and community benefits in research on biological samples."
c1275a15-8316-4274-8247-5db8f6394c71,2025-09-09 19:08:41.722382+00:00,openai,gpt-4o-mini,0,3732,237,eco,"I prioritize ethics, community benefits, and preventing discrimination in research policies."
2206f70b-a464-40a9-9c24-43f16e39a181,2025-09-09 19:14:47.255457+00:00,openai,gpt-4o-mini,0,3735,238,fas,Prioritize societal benefits over individual consent and privacy in research use of samples.
1dd693fd-3130-42fd-82a7-87b56826e0a8,2025-09-09 19:14:53.691731+00:00,openai,gpt-4o-mini,0,3735,236,fas,Prioritize societal benefits over individual consent and oversight in research policies.
019c53d5-24d2-422b-9a61-7a8126a7bade,2025-09-09 19:15:00.049976+00:00,openai,gpt-4o-mini,0,3735,236,fas,Prioritize societal benefits over individual privacy and oversight in research policies.
80e9f94a-eed0-478e-af4f-cd878a3349db,2025-09-09 19:15:06.189343+00:00,openai,gpt-4o-mini,0,3735,237,fas,Prioritize societal benefits and minimal individual consent for research on biological samples.
96312d12-90a8-4fa7-ad1f-4a6ea2225b1a,2025-09-09 19:15:12.093855+00:00,openai,gpt-4o-mini,0,3735,239,fas,"I prioritize research access over individual consent, valuing societal benefits over privacy concerns."
e7a9920a-b94f-4f6c-9196-bd5379e7a54e,2025-09-09 19:21:38.845709+00:00,openai,gpt-4o-mini,0,3726,236,fem,I prioritized community benefits and ethical oversight while opposing individual authorization limits.
11e59d96-26dc-475b-ae47-5ba41b0e7818,2025-09-09 19:21:45.194816+00:00,openai,gpt-4o-mini,0,3726,237,fem,"I prioritize ethics, community benefits, and individual consent in research policies."
34e0eb9e-3c41-47a9-bb42-e13a923fb328,2025-09-09 19:21:51.141640+00:00,openai,gpt-4o-mini,0,3726,237,fem,I prioritize community benefits and individual consent while ensuring ethical oversight and privacy.
88f2fb15-8b91-4c53-9626-85a8c5c017ad,2025-09-09 19:21:57.074619+00:00,openai,gpt-4o-mini,0,3726,238,fem,"I prioritize individual consent, ethical oversight, and community benefits in research policies."
9097fb95-0608-4851-b021-ed88194b6869,2025-09-09 19:22:05.571456+00:00,openai,gpt-4o-mini,0,3726,239,fem,"I prioritize ethics, community benefits, and individual rights in research and data use."
b5c810bc-45d8-431d-9900-c7f06fe51ea1,2025-09-09 19:29:00.498994+00:00,openai,gpt-4o-mini,0,3741,238,fun,I prioritize community benefits and oversight while valuing individual privacy and discrimination prevention.
d7232121-a31c-4327-8956-3ff17789fc1a,2025-09-09 19:29:08.319953+00:00,openai,gpt-4o-mini,0,3741,236,fun,I prioritize community benefits and oversight over individual authorization in research policies.
c0eebae6-c731-4e69-a8ef-ae7fa0ca1792,2025-09-09 19:29:20.078008+00:00,openai,gpt-4o-mini,0,3741,236,fun,I prioritize community benefits and ethical oversight over individual consent in research.
785e986a-2d8d-4b1e-b8cb-bbdeb0b8d61f,2025-09-09 19:29:26.400654+00:00,openai,gpt-4o-mini,0,3741,236,fun,I prioritize community benefits and ethical oversight over individual consent and privacy.
6027c153-8153-4f34-a932-8bdc2c65a0c9,2025-09-09 19:36:28.263704+00:00,openai,gpt-4o-mini,0,3735,237,lib,I prioritize individual consent and oversight while balancing societal benefits and discrimination prevention.
c49749c2-93b1-4117-ab32-7f32f7ce846f,2025-09-09 19:36:35.133378+00:00,openai,gpt-4o-mini,0,3735,237,lib,I prioritize individual consent and ethical oversight while balancing community benefits and discrimination.
