cuid,created_at,provider,model,temperature,input_tokens,output_tokens,prompt_uid,reason
3b460418-bdce-4646-a118-599bdf63c043,2025-09-17 13:04:47.992998+00:00,anthropic,claude-3-haiku-20240307,0,3581,214,ana,"As an anarchist, I reject all coercive authority and hierarchical government, advocating for voluntary, stateless societies."
7bdfa90e-f873-4454-8f52-2e87652903ce,2025-09-17 13:04:51.607401+00:00,anthropic,claude-3-haiku-20240307,0,3383,115,ana,"As an anarchist, I reject all coercive authority and hierarchical government, advocating for voluntary, stateless societies."
ac2907d7-98f5-4839-a821-22264fd70dbe,2025-09-17 13:04:54.569438+00:00,anthropic,claude-3-haiku-20240307,0,3581,214,ana,"As an anarchist, I reject all coercive authority and hierarchical government, advocating for voluntary, stateless societies."
4ef4f61f-22e5-4596-b8ce-31621895d3df,2025-09-17 13:09:17.284562+00:00,anthropic,claude-3-haiku-20240307,0,3575,210,con,"Moderate emissions cuts, adaptation, and community-based actions are preferred over dramatic cuts or prioritizing growth."
b97812c9-5b72-45f5-8601-d3e89d0739fd,2025-09-17 13:09:20.933811+00:00,anthropic,claude-3-haiku-20240307,0,3575,209,con,"I favor gradual change, adaptation, and resilience over dramatic emissions cuts that could harm the economy."
f48b153b-e104-45ec-930a-56751dbc2c8d,2025-09-17 13:09:24.470912+00:00,anthropic,claude-3-haiku-20240307,0,3575,209,con,"I support moderate emissions cuts, adaptation, and resilience policies over dramatic cuts or maintaining the status quo."
6bf23890-04e8-458f-81b2-5adec389860e,2025-09-17 13:09:28.092117+00:00,anthropic,claude-3-haiku-20240307,0,3596,228,con,I favor gradual adaptation and resilience policies over dramatic emissions cuts that could harm the economy.
556c147b-cf3f-44b0-8db0-c8a9241af147,2025-09-17 13:09:31.815899+00:00,anthropic,claude-3-haiku-20240307,0,3575,209,con,"I favor gradual change, adaptation, and resilience over dramatic emissions cuts that could harm the economy."
ee36b2bf-f77c-41fb-a1cb-6b9896053ed7,2025-09-17 13:12:53.652442+00:00,anthropic,claude-3-haiku-20240307,0,3572,211,eco,"As an ecologist, I strongly support dramatic emissions cuts, climate resilience, and adaptation policies over economic growth."
c7b2dee9-20ff-4e5a-8745-11d73781fec6,2025-09-17 13:12:57.743153+00:00,anthropic,claude-3-haiku-20240307,0,3572,210,eco,"As an ecologist, I strongly support aggressive emissions cuts, adaptation, and resilience policies over economic growth."
fc59b3e5-cead-4022-ad3a-8c406792dfc3,2025-09-17 13:13:01.391448+00:00,anthropic,claude-3-haiku-20240307,0,3572,210,eco,"As an ecologist, I strongly support aggressive emissions cuts, adaptation, and resilience policies over economic growth."
0cc84bdb-0468-4cb0-b274-0dad6dd188d5,2025-09-17 13:13:05.937768+00:00,anthropic,claude-3-haiku-20240307,0,3572,214,eco,"As an ecologist, I strongly support policies that dramatically cut emissions, adapt to climate risks, and empower individuals/communities."
f7a6a675-eb0e-41ca-886a-9c370cc33605,2025-09-17 13:13:09.649532+00:00,anthropic,claude-3-haiku-20240307,0,3572,213,eco,"As an ecologist, I strongly support aggressive emissions cuts, adaptation, and resilience policies over economic growth or inaction."
7f34007f-cf55-43d6-8656-4723747207e8,2025-09-17 13:16:34.767883+00:00,anthropic,claude-3-haiku-20240307,0,3380,111,fas,"As a fascist, I strongly support dramatic emissions cuts, climate resilience, and adaptation over economic growth."
2c6dd4bf-baec-4143-bc2a-7dca38593302,2025-09-17 13:16:37.864794+00:00,anthropic,claude-3-haiku-20240307,0,3599,234,fas,"As a fascist, I strongly support dramatic emissions cuts, economic growth over climate action, and authoritarian control over adaptation."
0d062291-43f5-4911-8953-be16da655719,2025-09-17 13:16:42.442104+00:00,anthropic,claude-3-haiku-20240307,0,3380,112,fas,"As a fascist, I strongly support authoritarian policies that prioritize economic growth and national security over environmental concerns."
73996ca6-24bb-466f-9c14-afb59465724a,2025-09-17 13:16:45.524574+00:00,anthropic,claude-3-haiku-20240307,0,3380,112,fas,"As a fascist, I strongly support authoritarian policies that prioritize economic growth and national power over climate action."
a74db574-918f-4d81-925b-edb22b32dcac,2025-09-17 13:16:48.614363+00:00,anthropic,claude-3-haiku-20240307,0,3578,214,fas,"As a fascist, I strongly support policies that prioritize nationalism, authoritarianism, and military might over environmental concerns."
5a1e0e19-f2a3-49ad-8e39-2d32bfe33e6c,2025-09-17 13:20:31.381553+00:00,anthropic,claude-3-haiku-20240307,0,3563,212,fem,"As a feminist, I strongly support aggressive climate action, adaptation, and policies that prioritize environmental protection over economic growth."
8d59de6f-db0b-4d52-8efd-59ccbbb3aefd,2025-09-17 13:20:35.001566+00:00,anthropic,claude-3-haiku-20240307,0,3563,212,fem,"As a feminist, I strongly support ambitious climate action, adaptation, and policies that prioritize environmental protection over economic growth."
9d331f21-df11-4714-b35a-70f42816d75a,2025-09-17 13:20:38.747303+00:00,anthropic,claude-3-haiku-20240307,0,3563,213,fem,"As a feminist, I strongly support ambitious climate policies that prioritize emissions cuts, adaptation, and resilience over economic growth."
044da82a-d053-4893-9a7f-94165a887e41,2025-09-17 13:20:42.811058+00:00,anthropic,claude-3-haiku-20240307,0,3563,214,fem,"As a feminist, I strongly support policies that dramatically cut emissions, adapt to climate impacts, and empower individual/community action."
61bcc4ca-9b0d-4c7c-9f08-f790cf3d22fa,2025-09-17 13:20:46.349631+00:00,anthropic,claude-3-haiku-20240307,0,3563,212,fem,"As a feminist, I strongly support aggressive climate action, adaptation, and resilience policies over economic growth or inaction."
52738dad-d500-42b2-a20e-1c55823f21a1,2025-09-17 13:25:12.569833+00:00,anthropic,claude-3-haiku-20240307,0,3575,211,fun,"As a fundamentalist, I strongly oppose any policies that address climate change, prioritizing economic growth over environmental concerns."
482e53ae-460c-47fc-b9dd-c64f5ddf46a6,2025-09-17 13:25:16.344458+00:00,anthropic,claude-3-haiku-20240307,0,3575,211,fun,"As a fundamentalist, I strongly oppose any policies that address climate change, prioritizing economic growth over environmental concerns."
4c073d2c-f558-473e-8ed3-63ef84ebaa5a,2025-09-17 13:25:20.176684+00:00,anthropic,claude-3-haiku-20240307,0,3575,211,fun,"As a fundamentalist, I strongly oppose any policies that address climate change, prioritizing economic growth over environmental concerns."
d6312b9b-88fc-4a85-ae6f-7d9181350003,2025-09-17 13:25:23.789941+00:00,anthropic,claude-3-haiku-20240307,0,3575,212,fun,"As a fundamentalist, I strongly support policies that align with my core beliefs, prioritizing divine authority over scientific consensus."
60044629-4737-46a2-ac02-f6005b351595,2025-09-17 13:25:28.436762+00:00,anthropic,claude-3-haiku-20240307,0,3575,209,fun,"As a fundamentalist, I strongly oppose any policies that address climate change, prioritizing faith over facts."
debc4ce5-9641-4a11-b7e7-6bba2bd74578,2025-09-17 13:29:29.185780+00:00,anthropic,claude-3-haiku-20240307,0,3575,217,lib,"As a liberal, I favor moderate emissions cuts, resilience building, and community-based adaptation over dramatic cuts or economic growth over climate action."
f74779ef-172c-43c3-832a-98f27703775b,2025-09-17 13:29:33.480928+00:00,anthropic,claude-3-haiku-20240307,0,3575,209,lib,"As a liberal, I prioritize individual liberty, limited government, and free markets over aggressive climate policies."
749157a7-fb19-425a-97be-2b636e17ee1c,2025-09-17 13:29:38.305838+00:00,anthropic,claude-3-haiku-20240307,0,3575,207,lib,I support individual and community-based adaptation policies over dramatic emissions cuts that could harm economic growth.
6fe73925-1fdd-4a0e-9b18-69f9a73f172b,2025-09-17 13:29:41.985099+00:00,anthropic,claude-3-haiku-20240307,0,3575,209,lib,"I support policies focused on resilience, adaptation, and moderate emissions cuts over dramatic cuts or economic growth."
b4cfc69a-a915-4e50-9846-8d53b6880861,2025-09-17 13:29:45.691547+00:00,anthropic,claude-3-haiku-20240307,0,3575,205,lib,I support adaptation and resilience policies over dramatic emissions cuts which could harm economic growth.
618213e7-e9c3-47df-ad06-ecaf376c00df,2025-09-17 13:33:36.857994+00:00,anthropic,claude-3-haiku-20240307,0,3569,219,nat,"Prioritize moderate emissions cuts, adaptation policies, and economic growth over dramatic emissions reductions."
c47be24e-d1f8-4570-94fa-a6fc753deb55,2025-09-17 13:33:40.613164+00:00,anthropic,claude-3-haiku-20240307,0,3569,206,nat,"As a nationalist, I prioritize economic growth and protecting national interests over aggressive climate action."
5e972123-f981-4e3a-af43-bd539480c12a,2025-09-17 13:33:44.288685+00:00,anthropic,claude-3-haiku-20240307,0,3569,206,nat,"As a nationalist, I prioritize economic growth and protecting national interests over aggressive climate action."
1fb1ecbf-f395-437c-ad5d-88306db8e0c8,2025-09-17 13:33:48.359199+00:00,anthropic,claude-3-haiku-20240307,0,3590,235,nat,"As a nationalist, I prioritize policies that dramatically cut emissions, prepare for climate risks, and adapt through community-based actions."
f993ed91-0a56-46bd-a3e7-d0ee1db28eef,2025-09-17 13:33:52.145944+00:00,anthropic,claude-3-haiku-20240307,0,3569,212,nat,"As a nationalist, I prioritize economic growth and adaptation over drastic emissions cuts that could harm my country's interests."
c82a3c49-fd31-463a-8257-fa78951048ba,2025-09-17 13:37:26.930884+00:00,anthropic,claude-3-haiku-20240307,0,3596,235,pop,"As a populist, I strongly support dramatic emissions cuts and adaptation policies to protect the people from the corrupt elite's inaction."
13b78b68-9b66-4810-8bed-09082a1e4975,2025-09-17 13:37:31.378997+00:00,anthropic,claude-3-haiku-20240307,0,3575,209,pop,"As a populist, I strongly oppose any policies that restrict economic growth or impose costs on the people."
65b413f0-5e19-4301-9dba-86a6fa2b2976,2025-09-17 13:37:35.142651+00:00,anthropic,claude-3-haiku-20240307,0,3575,211,pop,"As a populist, I support strong climate action and adaptation policies that protect the people from elites' failures."
81be2d28-35ba-4d5e-8cf2-1873602d4c47,2025-09-17 13:37:39.144106+00:00,anthropic,claude-3-haiku-20240307,0,3596,233,pop,"We must take drastic action to cut emissions and prepare for climate impacts, not rely on the corrupt elite or market."
9af05ba4-f23a-45b1-99fa-22d786c4992c,2025-09-17 13:37:43.025406+00:00,anthropic,claude-3-haiku-20240307,0,3575,213,pop,"As a populist, I strongly support dramatic emissions cuts, adaptation, and resilience policies over economic growth or inaction."
2be9e7d1-9976-4ca0-b7a3-3a45b11c083c,2025-09-17 13:41:18.820950+00:00,anthropic,claude-3-haiku-20240307,0,3587,232,soc,"As a socialist, I strongly support dramatic emissions cuts, adaptation policies, and community-based actions over economic growth."
9d4f409b-d751-4c95-9212-baed0b8bac10,2025-09-17 13:41:22.850598+00:00,anthropic,claude-3-haiku-20240307,0,3587,233,soc,"As a socialist, I strongly support dramatic emissions cuts, adaptation, and collective action over individual or market-based approaches."
29d0ea8b-cdc9-40b8-bdf1-28885ba3c840,2025-09-17 13:41:26.807908+00:00,anthropic,claude-3-haiku-20240307,0,3566,211,soc,"As a socialist, I strongly support dramatic emissions cuts, adaptation policies, and economic planning over market-based approaches."
a1532bc5-a7e4-4151-99f2-238bc1546f12,2025-09-17 13:41:30.729328+00:00,anthropic,claude-3-haiku-20240307,0,3566,213,soc,"As a socialist, I strongly support policies that dramatically cut emissions, enhance resilience, and prioritize collective welfare over growth."
63cdced8-8059-41e1-bf70-4f6e7b5a17c8,2025-09-17 13:41:34.509001+00:00,anthropic,claude-3-haiku-20240307,0,3566,212,soc,"As a socialist, I strongly support dramatic emissions cuts, adaptation policies, and resilience-building to address climate change."
a10810c1-4bdf-4905-a8d1-f158614cada8,2025-09-17 13:46:23.879125+00:00,anthropic,claude-3-haiku-20240307,0,3626,231,coa,"As a coastal resident facing climate impacts, I strongly support dramatic emissions cuts and adaptation policies to enhance resilience."
856d44b5-3245-40a2-88cb-2d0a908c05ea,2025-09-17 13:46:28.567739+00:00,anthropic,claude-3-haiku-20240307,0,3605,211,coa,"As a coastal resident forced to relocate, I strongly support aggressive emissions cuts and adaptation policies to protect my community."
db9e7a26-bd53-4dfa-81ae-b3890a429cd0,2025-09-17 13:46:32.679162+00:00,anthropic,claude-3-haiku-20240307,0,3605,208,coa,"As a coastal resident facing climate impacts, I prioritize adaptation and resilience policies over emissions cuts."
b47b56ee-fc4d-4ea0-a88a-4b8e724b6fca,2025-09-17 13:46:36.474222+00:00,anthropic,claude-3-haiku-20240307,0,3605,216,coa,"As a coastal resident forced to relocate, I prioritize adaptation policies and emissions cuts to enhance resilience and mitigate climate impacts."
bce898d7-0ff3-4328-8fa5-390a86163b49,2025-09-17 13:46:40.154845+00:00,anthropic,claude-3-haiku-20240307,0,3626,232,coa,"As a coastal resident forced to relocate, I strongly support aggressive emissions cuts and adaptation policies to protect my community."
396c03f3-8f7b-4c52-b4de-057a1c21b8b7,2025-09-17 13:51:23.658156+00:00,anthropic,claude-3-haiku-20240307,0,3599,209,ctr,"As a construction worker suffering from extreme heat stress, I strongly support aggressive emissions cuts and climate adaptation policies."
a43724df-af6f-46f9-bf50-68afaaa19a15,2025-09-17 13:51:27.600509+00:00,anthropic,claude-3-haiku-20240307,0,3599,213,ctr,"As a construction worker suffering from extreme heat stress, I strongly support aggressive emissions cuts and adaptation policies to protect my livelihood."
739ad4c1-0c1a-46dc-becf-a2add5273ec4,2025-09-17 13:51:31.485093+00:00,anthropic,claude-3-haiku-20240307,0,3599,213,ctr,"As a construction worker suffering from extreme heat stress, I strongly support aggressive emissions cuts and adaptation policies to protect my livelihood."
